season,team_name,player_id,player_name,injury_type,reason,fixture_date,end_date,days_out
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-11-29,,171
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Knee Injury,2023-12-02,,98
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-12-02,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-12-02,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-12-02,,171
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Knee Injury,2023-12-05,,98
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-12-05,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-12-05,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-12-05,,171
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Knee Injury,2023-12-09,,98
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-12-09,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-12-09,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-12-09,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,Calf Injury,2023-12-09,,133
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-12-12,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-12-12,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-12-12,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,Calf Injury,2023-12-12,,133
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-12-17,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-12-17,,250
2023-2024,Arsenal,1452,M. Elneny,Missing Fixture,Thigh Injury,2023-12-17,,171
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-12-17,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,Calf Injury,2023-12-17,,133
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-12-23,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-12-23,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-12-23,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,Calf Injury,2023-12-23,,133
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-12-28,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-12-28,,250
2023-2024,Arsenal,978,K. Havertz,Missing Fixture,Yellow Cards,2023-12-28,,0
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2023-12-28,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,Calf Injury,2023-12-28,,133
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2023-12-31,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2023-12-31,,250
2023-2024,Arsenal,641,O. Zinchenko,Missing Fixture,Calf Injury,2023-12-31,,52
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2024-01-20,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-01-20,,250
2023-2024,Arsenal,1452,M. Elneny,Missing Fixture,National selection,2024-01-20,,171
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2024-01-20,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,National selection,2024-01-20,,133
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2024-01-30,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-01-30,,250
2023-2024,Arsenal,1452,M. Elneny,Missing Fixture,National selection,2024-01-30,,171
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2024-01-30,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,National selection,2024-01-30,,133
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2024-02-04,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-02-04,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2024-02-04,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,International duty,2024-02-04,,133
2023-2024,Arsenal,1161,E. Smith Rowe,Missing Fixture,Injury,2024-02-11,,98
2023-2024,Arsenal,41725,F. Vieira,Missing Fixture,Groin Injury,2024-02-11,,77
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-02-11,,250
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2024-02-11,,171
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-02-17,,250
2023-2024,Arsenal,643,Gabriel Jesus,Missing Fixture,Injury,2024-02-21,,193
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-02-21,,250
2023-2024,Arsenal,641,O. Zinchenko,Missing Fixture,Calf Injury,2024-02-21,,52
2023-2024,Arsenal,49,T. Partey,Missing Fixture,Muscle Injury,2024-02-21,,171
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,Injury,2024-02-21,,133
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-02-24,,250
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,Injury,2024-02-24,,133
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-03-04,,250
2023-2024,Arsenal,19465,D. Raya,Missing Fixture,Loan agreement,2024-03-09,,105
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-03-09,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-03-12,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-03-31,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-04-03,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-04-06,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-04-09,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-04-14,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Knee Injury,2024-04-17,,250
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Coach's decision,2024-04-20,,250
2023-2024,Arsenal,2597,T. Tomiyasu,Missing Fixture,Health problems,2024-04-20,,133
2023-2024,Arsenal,38746,J. Timber,Missing Fixture,Lacking Match Fitness,2024-04-28,,250
2023-2024,Arsenal,1460,B. Saka,Missing Fixture,Muscle Injury,2024-05-19,,0
2023-2024,Aston Villa,47547,A. Moreno,Missing Fixture,Thigh Injury,2023-08-12,,0
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-08-12,,0
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-08-12,,280
2023-2024,Aston Villa,13489,J. Duran,Missing Fixture,Injury,2023-08-12,,0
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Foot Injury,2023-08-12,,21
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-08-12,,91
2023-2024,Aston Villa,2922,L. Dendoncker,Missing Fixture,Muscle Injury,2023-08-12,,14
2023-2024,Aston Villa,284500,T. Iroegbunam,Missing Fixture,Surgery,2023-08-12,,42
2023-2024,Aston Villa,47547,A. Moreno,Questionable,Thigh Injury,2023-08-20,,0
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-08-20,,280
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Foot Injury,2023-08-20,,21
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-08-20,,91
2023-2024,Aston Villa,2922,L. Dendoncker,Missing Fixture,Muscle Injury,2023-08-20,,14
2023-2024,Aston Villa,284500,T. Iroegbunam,Missing Fixture,Surgery,2023-08-20,,42
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-08-20,,273
2023-2024,Aston Villa,47547,A. Moreno,Questionable,Thigh Injury,2023-08-27,,0
2023-2024,Aston Villa,147,Coutinho,Missing Fixture,Hamstring Injury,2023-08-27,,7
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-08-27,,280
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Foot Injury,2023-08-27,,21
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-08-27,,91
2023-2024,Aston Villa,2922,L. Dendoncker,Missing Fixture,Muscle Injury,2023-08-27,,14
2023-2024,Aston Villa,284500,T. Iroegbunam,Missing Fixture,Surgery,2023-08-27,,42
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-08-27,,273
2023-2024,Aston Villa,47547,A. Moreno,Questionable,Thigh Injury,2023-09-03,,0
2023-2024,Aston Villa,147,Coutinho,Missing Fixture,Hamstring Injury,2023-09-03,,7
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-09-03,,280
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Foot Injury,2023-09-03,,21
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-09-03,,91
2023-2024,Aston Villa,284500,T. Iroegbunam,Missing Fixture,Surgery,2023-09-03,,42
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-09-03,,273
2023-2024,Aston Villa,671,B. Traore,Questionable,Injury,2023-09-16,,0
2023-2024,Aston Villa,21090,Diego Carlos,Missing Fixture,Injury,2023-09-16,,7
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-09-16,,280
2023-2024,Aston Villa,19192,J. Ramsey,Questionable,Foot Injury,2023-09-16,,0
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-09-16,,91
2023-2024,Aston Villa,284500,T. Iroegbunam,Missing Fixture,Surgery,2023-09-16,,42
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-09-16,,273
2023-2024,Aston Villa,671,B. Traore,Questionable,Injury,2023-09-24,,0
2023-2024,Aston Villa,21090,Diego Carlos,Missing Fixture,Injury,2023-09-24,,7
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-09-24,,280
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-09-24,,91
2023-2024,Aston Villa,284500,T. Iroegbunam,Missing Fixture,Surgery,2023-09-24,,42
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-09-24,,273
2023-2024,Aston Villa,47547,A. Moreno,Questionable,Injury,2023-09-30,,0
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-09-30,,280
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-09-30,,91
2023-2024,Aston Villa,983,L. Bailey,Missing Fixture,Thigh Injury,2023-09-30,,0
2023-2024,Aston Villa,284500,T. Iroegbunam,Questionable,Surgery,2023-09-30,,0
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-09-30,,273
2023-2024,Aston Villa,47547,A. Moreno,Missing Fixture,Injury,2023-10-08,,202
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-10-08,,280
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Injury,2023-10-08,,35
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-10-08,,91
2023-2024,Aston Villa,284500,T. Iroegbunam,Questionable,Surgery,2023-10-08,,0
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-10-08,,273
2023-2024,Aston Villa,47547,A. Moreno,Missing Fixture,Injury,2023-10-22,,202
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-10-22,,280
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Injury,2023-10-22,,35
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-10-22,,91
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-10-22,,273
2023-2024,Aston Villa,47547,A. Moreno,Missing Fixture,Injury,2023-10-29,,202
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-10-29,,280
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Injury,2023-10-29,,35
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-10-29,,91
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-10-29,,273
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-11-05,,280
2023-2024,Aston Villa,13489,J. Duran,Questionable,Toe Injury,2023-11-05,,0
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Injury,2023-11-05,,35
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-11-05,,91
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-11-05,,273
2023-2024,Aston Villa,21090,Diego Carlos,Questionable,Injury,2023-11-12,,0
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-11-12,,280
2023-2024,Aston Villa,19192,J. Ramsey,Missing Fixture,Injury,2023-11-12,,35
2023-2024,Aston Villa,19177,K. Hause,Missing Fixture,Knee Injury,2023-11-12,,91
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-11-12,,273
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-11-26,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-11-26,,280
2023-2024,Aston Villa,786,N. Zaniolo,Questionable,Injury,2023-11-26,,0
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-11-26,,273
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Yellow Cards,2023-12-03,,168
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-12-03,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-12-03,,280
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-12-03,,273
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-12-06,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-12-06,,280
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-12-06,,273
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-12-09,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-12-09,,280
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-12-09,,273
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-12-17,,65
2023-2024,Aston Villa,47522,Douglas Luiz,Missing Fixture,Yellow Cards,2023-12-17,,126
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-12-17,,280
2023-2024,Aston Villa,2724,L. Digne,Missing Fixture,Yellow Cards,2023-12-17,,13
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-12-17,,273
2023-2024,Aston Villa,2926,Y. Tielemans,Questionable,Knock,2023-12-17,,0
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Red Card,2023-12-22,,168
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-12-22,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-12-22,,280
2023-2024,Aston Villa,46815,P. Torres,Questionable,Injury,2023-12-22,,0
2023-2024,Aston Villa,766,R. Olsen,Missing Fixture,Knock,2023-12-22,,7
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-12-22,,273
2023-2024,Aston Villa,2926,Y. Tielemans,Questionable,Knock,2023-12-22,,0
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Red Card,2023-12-26,,168
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-12-26,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-12-26,,280
2023-2024,Aston Villa,19298,M. Cash,Missing Fixture,Yellow Cards,2023-12-26,,144
2023-2024,Aston Villa,766,R. Olsen,Missing Fixture,Knock,2023-12-26,,7
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-12-26,,273
2023-2024,Aston Villa,2926,Y. Tielemans,Missing Fixture,Knock,2023-12-26,,3
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Red Card,2023-12-30,,168
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,Muscle Injury,2023-12-30,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2023-12-30,,280
2023-2024,Aston Villa,2724,L. Digne,Missing Fixture,Thigh Injury,2023-12-30,,13
2023-2024,Aston Villa,766,R. Olsen,Missing Fixture,Knock,2023-12-30,,7
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2023-12-30,,273
2023-2024,Aston Villa,2926,Y. Tielemans,Missing Fixture,Knock,2023-12-30,,3
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,National selection,2024-01-14,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-01-14,,280
2023-2024,Aston Villa,2724,L. Digne,Questionable,Thigh Injury,2024-01-14,,0
2023-2024,Aston Villa,46815,P. Torres,Questionable,Ankle Injury,2024-01-14,,0
2023-2024,Aston Villa,766,R. Olsen,Questionable,Knock,2024-01-14,,0
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-01-14,,273
2023-2024,Aston Villa,671,B. Traore,Missing Fixture,National selection,2024-01-30,,65
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-01-30,,280
2023-2024,Aston Villa,13489,J. Duran,Missing Fixture,Injury,2024-01-30,,31
2023-2024,Aston Villa,2724,L. Digne,Questionable,Thigh Injury,2024-01-30,,0
2023-2024,Aston Villa,46815,P. Torres,Questionable,Ankle Injury,2024-01-30,,0
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-01-30,,273
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-02-03,,280
2023-2024,Aston Villa,13489,J. Duran,Missing Fixture,Injury,2024-02-03,,31
2023-2024,Aston Villa,7029,J. Gauci,Missing Fixture,International duty,2024-02-03,,0
2023-2024,Aston Villa,2724,L. Digne,Questionable,Thigh Injury,2024-02-03,,0
2023-2024,Aston Villa,786,N. Zaniolo,Questionable,Injury,2024-02-03,,0
2023-2024,Aston Villa,46815,P. Torres,Questionable,Ankle Injury,2024-02-03,,0
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-02-03,,273
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-02-11,,280
2023-2024,Aston Villa,19354,E. Konsa,Missing Fixture,Knee Injury,2024-02-11,,12
2023-2024,Aston Villa,13489,J. Duran,Missing Fixture,Injury,2024-02-11,,31
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-02-11,,273
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Knee Injury,2024-02-17,,168
2023-2024,Aston Villa,21090,Diego Carlos,Missing Fixture,Muscle Injury,2024-02-17,,14
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-02-17,,280
2023-2024,Aston Villa,19354,E. Konsa,Missing Fixture,Knee Injury,2024-02-17,,12
2023-2024,Aston Villa,13489,J. Duran,Missing Fixture,Injury,2024-02-17,,31
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-02-17,,273
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Knee Injury,2024-02-24,,168
2023-2024,Aston Villa,21090,Diego Carlos,Missing Fixture,Muscle Injury,2024-02-24,,14
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-02-24,,280
2023-2024,Aston Villa,19354,E. Konsa,Missing Fixture,Knee Injury,2024-02-24,,12
2023-2024,Aston Villa,13489,J. Duran,Missing Fixture,Injury,2024-02-24,,31
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-02-24,,273
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Knee Injury,2024-03-02,,168
2023-2024,Aston Villa,21090,Diego Carlos,Missing Fixture,Muscle Injury,2024-03-02,,14
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-03-02,,280
2023-2024,Aston Villa,13489,J. Duran,Missing Fixture,Injury,2024-03-02,,31
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-03-02,,273
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Knee Injury,2024-03-10,,168
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-03-10,,280
2023-2024,Aston Villa,19192,J. Ramsey,Questionable,Ankle Injury,2024-03-10,,0
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-03-10,,273
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Knee Injury,2024-03-17,,168
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-03-17,,280
2023-2024,Aston Villa,19191,J. McGinn,Missing Fixture,Red Card,2024-03-17,,0
2023-2024,Aston Villa,19192,J. Ramsey,Questionable,Ankle Injury,2024-03-17,,0
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-03-17,,273
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Knee Injury,2024-03-30,,168
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-03-30,,280
2023-2024,Aston Villa,19192,J. Ramsey,Questionable,Ankle Injury,2024-03-30,,0
2023-2024,Aston Villa,19298,M. Cash,Missing Fixture,Hamstring Injury,2024-03-30,,144
2023-2024,Aston Villa,19179,T. Mings,Missing Fixture,Knee Injury,2024-03-30,,273
2023-2024,Aston Villa,1904,B. Kamara,Missing Fixture,Knee Injury,2024-04-03,,168
2023-2024,Aston Villa,19071,E. Buendia,Missing Fixture,Knee Injury,2024-04-03,,280
