team,rank,country,level,elo,from,to,league
Napoli,28.0,ITA,1,1783.96447754,2026-05-12,2026-05-17,ITA-Serie A
Roma,29.0,ITA,1,1776.97790527,2026-05-11,2026-05-17,ITA-Serie A
RB Leipzig,30.0,GER,1,1774.56835938,2026-05-10,2026-05-30,GER-Bundesliga
Tottenham,31.0,ENG,1,1770.90722656,2026-05-12,2026-05-30,ENG-Premier League
Atalanta,32.0,ITA,1,1767.05969238,2026-05-11,2026-05-17,ITA-Serie A
Milan,33.0,ITA,1,1766.80297852,2026-05-11,2026-05-17,ITA-Serie A
Villarreal,34.0,ESP,1,1765.87036133,2026-05-11,2026-05-13,ESP-La Liga
Lyon,35.0,FRA,1,1760.34460449,2026-05-11,2026-05-30,FRA-Ligue 1
West Ham,36.0,ENG,1,1759.84863281,2026-05-11,2026-05-17,ENG-Premier League
Stuttgart,37.0,GER,1,1754.45214844,2026-05-10,2026-05-30,GER-Bundesliga
Lille,38.0,FRA,1,1754.21936035,2026-05-11,2026-05-30,FRA-Ligue 1
Lens,39.0,FRA,1,1751.74169922,2026-05-09,2026-05-13,FRA-Ligue 1
PSV,40.0,NED,1,1749.10974121,2026-05-11,2026-05-30,
Como,41.0,ITA,1,1745.60241699,2026-05-11,2026-05-17,ITA-Serie A
Betis,42.0,ESP,1,1740.87255859,2026-05-10,2026-05-12,ESP-La Liga
Brugge,43.0,BEL,1,1739.17724609,2026-05-10,2026-05-30,
Monaco,44.0,FRA,1,1734.18823242,2026-05-11,2026-05-30,FRA-Ligue 1
St Gillis,45.0,BEL,1,1725.98046875,2026-05-11,2026-05-30,
Rennes,46.0,FRA,1,1722.53430176,2026-05-11,2026-05-30,FRA-Ligue 1
Lazio,47.0,ITA,1,1716.85644531,2026-05-10,2026-05-17,ITA-Serie A
Freiburg,48.0,GER,1,1715.88720703,2026-05-11,2026-05-20,GER-Bundesliga
Hoffenheim,49.0,GER,1,1714.82116699,2026-05-10,2026-05-30,GER-Bundesliga
Strasbourg,50.0,FRA,1,1713.24450684,2026-05-11,2026-05-13,FRA-Ligue 1
Braga,51.0,POR,1,1712.03918457,2026-05-12,2026-05-30,
Bodoe Glimt,52.0,NOR,1,1708.89245605,2026-05-05,2026-05-30,
Bilbao,53.0,ESP,1,1704.28222656,2026-05-11,2026-05-13,ESP-La Liga
Marseille,54.0,FRA,1,1701.1282959,2026-05-11,2026-05-30,FRA-Ligue 1
Sunderland,55.0,ENG,1,1700.22119141,2026-05-10,2026-05-17,ENG-Premier League
Galatasaray,56.0,TUR,1,1696.86816406,2026-05-10,2026-05-30,
Celta,57.0,ESP,1,1691.6048584,2026-05-10,2026-05-12,ESP-La Liga
Midtjylland,58.0,DEN,1,1687.38391113,2026-05-11,2026-05-30,
Rayo Vallecano,59.0,ESP,1,1681.06054688,2026-05-12,2026-05-14,ESP-La Liga
Osasuna,60.0,ESP,1,1680.12548828,2026-05-09,2026-05-12,ESP-La Liga
Mainz,61.0,GER,1,1679.97167969,2026-05-11,2026-05-30,GER-Bundesliga
Wolves,62.0,ENG,1,1677.89746094,2026-05-10,2026-05-17,ENG-Premier League
Sociedad,63.0,ESP,1,1676.44592285,2026-05-10,2026-05-14,ESP-La Liga
Bologna,64.0,ITA,1,1673.31420898,2026-05-12,2026-05-17,ITA-Serie A
Frankfurt,65.0,GER,1,1666.47814941,2026-05-09,2026-05-30,GER-Bundesliga
Olympiakos,66.0,GRE,1,1661.01379395,2026-05-11,2026-05-30,
Burnley,67.0,ENG,1,1659.06384277,2026-05-11,2026-05-18,ENG-Premier League
Coventry,68.0,ENG,2,1657.41906738,2026-05-05,2026-05-30,
Valencia,69.0,ESP,1,1657.28356934,2026-05-11,2026-05-14,ESP-La Liga
Zenit,70.0,RUS,1,1657.19775391,2026-05-05,2026-05-30,
Fenerbahce,71.0,TUR,1,1656.73876953,2026-05-10,2026-05-30,
Getafe,72.0,ESP,1,1655.16296387,2026-05-11,2026-05-13,ESP-La Liga
Slavia Praha,73.0,CZE,1,1654.11645508,2026-05-10,2026-05-30,
Fiorentina,74.0,ITA,1,1652.45849609,2026-05-11,2026-05-17,ITA-Serie A
Udinese,75.0,ITA,1,1652.02856445,2026-05-10,2026-05-17,ITA-Serie A
Mallorca,76.0,ESP,1,1650.1776123,2026-05-11,2026-05-13,ESP-La Liga
Sassuolo,77.0,ITA,1,1649.1673584,2026-05-09,2026-05-17,ITA-Serie A
Lorient,78.0,FRA,1,1645.14709473,2026-05-11,2026-05-30,FRA-Ligue 1
Toulouse,79.0,FRA,1,1644.97021484,2026-05-11,2026-05-30,FRA-Ligue 1
Augsburg,80.0,GER,1,1644.42578125,2026-05-10,2026-05-30,GER-Bundesliga
Girona,81.0,ESP,1,1636.66784668,2026-05-12,2026-05-14,ESP-La Liga
AEK,82.0,GRE,1,1635.95898438,2026-05-11,2026-05-30,
Ipswich,83.0,ENG,2,1635.93945312,2026-05-04,2026-05-30,
Brest,84.0,FRA,1,1633.45263672,2026-05-11,2026-05-13,FRA-Ligue 1
Gladbach,85.0,GER,1,1633.08532715,2026-05-10,2026-05-30,GER-Bundesliga
Southampton,86.0,ENG,2,1632.28771973,2026-05-10,2026-05-12,
FC Krasnodar,87.0,RUS,1,1632.22900391,2026-05-04,2026-05-30,
Viking,88.0,NOR,1,1631.9107666,2026-05-11,2026-05-30,
Genoa,89.0,ITA,1,1631.14331055,2026-05-11,2026-05-17,ITA-Serie A
Torino,90.0,ITA,1,1622.01342773,2026-05-09,2026-05-17,ITA-Serie A
Paris FC,91.0,FRA,1,1619.13891602,2026-05-11,2026-05-30,FRA-Ligue 1
Elche,92.0,ESP,1,1617.34716797,2026-05-10,2026-05-12,ESP-La Liga
Werder,93.0,GER,1,1616.94482422,2026-05-10,2026-05-30,GER-Bundesliga
Alaves,94.0,ESP,1,1616.92565918,2026-05-10,2026-05-13,ESP-La Liga
Sevilla,95.0,ESP,1,1613.15478516,2026-05-10,2026-05-13,ESP-La Liga
Levante,96.0,ESP,1,1612.21899414,2026-05-09,2026-05-12,ESP-La Liga
Espanyol,97.0,ESP,1,1611.85314941,2026-05-10,2026-05-13,ESP-La Liga
PAOK,98.0,GRE,1,1603.4050293,2026-05-11,2026-05-30,
Parma,99.0,ITA,1,1600.62353516,2026-05-11,2026-05-17,ITA-Serie A
Millwall,100.0,ENG,2,1600.35961914,2026-05-12,2026-05-30,
Feyenoord,,NED,1,1599.34362793,2026-05-11,2026-05-30,
Auxerre,,FRA,1,1599.01049805,2026-05-11,2026-05-30,FRA-Ligue 1
Nice,,FRA,1,1593.60693359,2026-05-11,2026-05-30,FRA-Ligue 1
Famalicao,,POR,1,1591.96081543,2026-05-12,2026-05-30,
Venezia,,ITA,2,1591.82458496,2026-05-09,2026-05-30,
Ajax,,NED,1,1591.0970459,2026-05-11,2026-05-30,
Wolfsburg,,GER,1,1590.02270508,2026-05-10,2026-05-30,GER-Bundesliga
Union Berlin,,GER,1,1587.6105957,2026-05-11,2026-05-30,GER-Bundesliga
Shakhtar,,UKR,1,1587.16491699,2026-05-11,2026-05-30,
Hamburg,,GER,1,1586.40917969,2026-05-11,2026-05-30,GER-Bundesliga
Crvena Zvezda,,SRB,1,1586.15527344,2026-05-10,2026-05-30,
Koeln,,GER,1,1585.31555176,2026-05-11,2026-05-30,GER-Bundesliga
Middlesbrough,,ENG,2,1584.88635254,2026-05-10,2026-05-12,
Cagliari,,ITA,1,1583.46826172,2026-05-10,2026-05-17,ITA-Serie A
Aarhus,,DEN,1,1582.55212402,2026-05-11,2026-05-17,
FC Kobenhavn,,DEN,1,1578.41015625,2026-05-11,2026-05-30,
Dinamo Zagreb,,CRO,1,1577.11853027,2026-05-10,2026-05-30,
Oviedo,,ESP,1,1574.73022461,2026-05-11,2026-05-14,ESP-La Liga
Almeria,,ESP,2,1572.10205078,2026-05-10,2026-05-30,
Las Palmas,,ESP,2,1570.82995605,2026-05-11,2026-05-30,
Le Havre,,FRA,1,1570.03808594,2026-05-11,2026-05-30,FRA-Ligue 1
Genk,,BEL,1,1569.74719238,2026-05-11,2026-05-30,
Twente,,NED,1,1566.03100586,2026-05-11,2026-05-30,
St Truiden,,BEL,1,1563.59375,2026-05-10,2026-05-16,
Paphos,,CYP,0,1561.03271484,2026-03-20,2026-05-30,
Santander,,ESP,2,1559.41430664,2026-05-11,2026-05-30,
Frosinone,,ITA,2,1557.19641113,2026-05-09,2026-05-30,
Viktoria Plzen,,CZE,1,1556.39904785,2026-05-10,2026-05-12,
Norwich,,ENG,2,1556.30224609,2026-05-03,2026-05-30,
Panathinaikos,,GRE,1,1555.87133789,2026-05-11,2026-05-30,
Celtic,,SCO,1,1555.81945801,2026-05-11,2026-05-30,
Lok Moskva,,RUS,1,1555.28356934,2026-03-16,2026-05-30,
CSKA Moskva,,RUS,1,1554.62353516,2026-03-15,2026-05-30,
Karabakh Agdam,,AZE,0,1554.37609863,2026-02-25,2026-05-30,
Eibar,,ESP,2,1552.65100098,2026-05-11,2026-05-30,
Lecce,,ITA,1,1551.2722168,2026-05-10,2026-05-17,ITA-Serie A
Spartak Moskva,,RUS,1,1550.99316406,2026-03-15,2026-05-30,
Monza,,ITA,2,1548.88500977,2026-05-09,2026-05-30,
Heidenheim,,GER,1,1548.29882812,2026-05-11,2026-05-30,GER-Bundesliga
St Pauli,,GER,1,1548.14953613,2026-05-10,2026-05-30,GER-Bundesliga
Sparta Praha,,CZE,1,1547.84741211,2026-05-10,2026-05-12,
Guimaraes,,POR,1,1545.86694336,2026-05-12,2026-05-30,
Nantes,,FRA,1,1545.76879883,2026-05-09,2026-05-30,FRA-Ligue 1
Malaga,,ESP,2,1543.51269531,2026-05-10,2026-05-30,
Trabzonspor,,TUR,1,1542.65661621,2026-05-10,2026-05-30,
Alkmaar,,NED,1,1542.65246582,2026-05-11,2026-05-30,
Sheffield United,,ENG,2,1542.52172852,2026-05-03,2026-05-30,
Nordsjaelland,,DEN,1,1541.78015137,2026-05-11,2026-05-30,
Angers,,FRA,1,1541.4576416,2026-05-11,2026-05-30,FRA-Ligue 1
Dynamo Moskva,,RUS,1,1538.52526855,2026-03-15,2026-05-30,
Elversberg,,GER,2,1538.39648438,2026-05-11,2026-05-30,
Depor,,ESP,2,1538.00439453,2026-05-09,2026-05-30,
Reims,,FRA,2,1537.5760498,2026-05-10,2026-05-30,
Castellon,,ESP,2,1537.44287109,2026-05-10,2026-05-15,
Nijmegen,,NED,1,1536.40466309,2026-05-11,2026-05-30,
Derby,,ENG,2,1535.15454102,2026-05-03,2026-05-30,
Schalke,,GER,2,1532.64367676,2026-05-10,2026-05-30,
Hannover,,GER,2,1532.50817871,2026-05-10,2026-05-30,
Swansea,,ENG,2,1532.22668457,2026-05-03,2026-05-30,
Troyes,,FRA,2,1532.08435059,2026-05-10,2026-05-30,
Rangers,,SCO,1,1531.03417969,2026-05-11,2026-05-30,
Gil Vicente,,POR,1,1530.02416992,2026-05-12,2026-05-30,
Brondby,,DEN,1,1529.92541504,2026-05-11,2026-05-30,
Hull,,ENG,2,1528.82165527,2026-05-12,2026-05-30,
Brann,,NOR,1,1528.16906738,2026-05-03,2026-05-30,
Besiktas,,TUR,1,1527.0814209,2026-05-10,2026-05-30,
Burgos,,ESP,2,1523.53344727,2026-05-10,2026-05-30,
Wrexham,,ENG,2,1523.40039062,2026-05-03,2026-05-30,
Palermo,,ITA,2,1521.05993652,2026-05-09,2026-05-30,
Lech,,POL,1,1520.91882324,2026-05-09,2026-05-30,
Anderlecht,,BEL,1,1520.73718262,2026-05-11,2026-05-30,
Ferencvaros,,HUN,1,1520.0501709,2026-05-04,2026-05-30,
Paderborn,,GER,2,1517.98327637,2026-05-09,2026-05-30,
Cremonese,,ITA,1,1515.84008789,2026-05-11,2026-05-17,ITA-Serie A
Mjaellby,,SWE,1,1515.64575195,2026-05-10,2026-05-30,
Rakow,,POL,1,1513.4987793,2026-05-09,2026-05-13,
Viborg,,DEN,1,1512.19714355,2026-05-09,2026-05-17,
Hammarby,,SWE,1,1507.66381836,2026-05-10,2026-05-30,
Bueyueksehir,,TUR,1,1505.53808594,2026-05-10,2026-05-30,
Bristol City,,ENG,2,1503.62353516,2026-05-03,2026-05-30,
Utrecht,,NED,1,1503.46850586,2026-05-11,2026-05-30,
Birmingham,,ENG,2,1503.00720215,2026-05-03,2026-05-30,
Leganes,,ESP,2,1502.68005371,2026-05-11,2026-05-30,
Saint-Etienne,,FRA,2,1502.14709473,2026-05-10,2026-05-30,
Verona,,ITA,1,1501.93737793,2026-05-11,2026-05-17,ITA-Serie A
Estoril,,POR,1,1501.9263916,2026-05-11,2026-05-30,
Standard,,BEL,1,1500.97888184,2026-05-09,2026-05-30,
West Brom,,ENG,2,1500.64697266,2026-05-03,2026-05-30,
Leicester,,ENG,2,1499.39941406,2026-05-03,2026-05-30,
Metz,,FRA,1,1497.07897949,2026-05-11,2026-05-30,FRA-Ligue 1
Moreirense,,POR,1,1497.00012207,2026-05-12,2026-05-30,
Tromso,,NOR,1,1496.79089355,2026-05-11,2026-05-30,
Portsmouth,,ENG,2,1495.2565918,2026-05-03,2026-05-30,
Granada,,ESP,2,1495.18017578,2026-05-11,2026-05-30,
Gent,,BEL,1,1494.66638184,2026-05-11,2026-05-16,
Charleroi,,BEL,1,1494.49084473,2026-05-11,2026-05-30,
Larnaca,,CYP,0,1494.35522461,2026-03-20,2026-05-30,
Westerlo,,BEL,1,1494.10803223,2026-05-11,2026-05-30,
Andorra CF,,ESP,2,1492.56079102,2026-05-11,2026-05-30,
Antwerp,,BEL,1,1490.20812988,2026-05-11,2026-05-15,
Blackburn,,ENG,2,1489.22021484,2026-05-03,2026-05-30,
Cordoba,,ESP,2,1488.12036133,2026-05-11,2026-05-30,
Holstein,,GER,2,1486.92285156,2026-05-10,2026-05-30,
Rodez,,FRA,2,1486.046875,2026-05-10,2026-05-30,
Baltika,,RUS,1,1484.52722168,2026-03-15,2026-05-30,
Mechelen,,BEL,1,1484.47546387,2026-05-11,2026-05-30,
Arouca,,POR,1,1483.7052002,2026-05-12,2026-05-30,
Le Mans,,FRA,2,1483.05090332,2026-05-10,2026-05-30,
Heerenveen,,NED,1,1482.43310547,2026-05-11,2026-05-30,
Salzburg,,AUT,1,1482.40710449,2026-05-11,2026-05-30,
Albacete,,ESP,2,1482.00634766,2026-05-10,2026-05-30,
Santa Clara,,POR,1,1480.40734863,2026-05-12,2026-05-30,
Bochum,,GER,2,1479.00256348,2026-05-10,2026-05-30,
Hertha,,GER,2,1478.4029541,2026-05-11,2026-05-30,
Aris Limassol,,CYP,0,1478.18310547,2026-03-20,2026-05-30,
Montpellier,,FRA,2,1477.37524414,2026-05-10,2026-05-30,
QPR,,ENG,2,1476.45117188,2026-05-03,2026-05-30,
Darmstadt,,GER,2,1476.1418457,2026-05-11,2026-05-30,
Hearts,,SCO,1,1475.4967041,2026-05-10,2026-05-30,
Annecy,,FRA,2,1475.22961426,2026-05-10,2026-05-30,
Preston,,ENG,2,1474.8059082,2026-05-03,2026-05-30,
Pisa,,ITA,1,1472.42614746,2026-05-11,2026-05-17,ITA-Serie A
Djurgarden,,SWE,1,1472.00256348,2026-05-11,2026-05-30,
Sturm Graz,,AUT,1,1471.63842773,2026-05-11,2026-05-30,
Catanzaro,,ITA,2,1470.98950195,2026-05-09,2026-05-30,
Gijon,,ESP,2,1470.35302734,2026-05-10,2026-05-30,
StGallen,,SUI,1,1469.69946289,2026-05-11,2026-05-30,
Molde,,NOR,1,1467.12390137,2026-05-11,2026-05-30,
Jagiellonia,,POL,1,1466.60534668,2026-05-10,2026-05-13,
Beer-Sheva,,ISR,1,1466.13769531,2026-05-10,2026-05-12,
SonderjyskE,,DEN,1,1465.48205566,2026-05-09,2026-05-30,
Thun,,SUI,1,1463.22143555,2026-05-11,2026-05-30,
Cercle Brugge,,BEL,1,1462.87353516,2026-05-10,2026-05-30,
Samsunspor,,TUR,1,1459.11291504,2026-05-10,2026-05-30,
Craiova,,ROM,1,1458.68518066,2026-05-09,2026-05-30,
Ceuta,,ESP,2,1458.46643066,2026-05-10,2026-05-30,
Oxford,,ENG,2,1458.46496582,2026-05-03,2026-05-30,
Rio Ave,,POR,1,1458.10595703,2026-05-12,2026-05-30,
Goeztepe,,TUR,1,1457.75744629,2026-05-10,2026-05-30,
Omonia,,CYP,0,1456.90454102,2026-03-20,2026-05-30,
Celje,,SVN,1,1455.5267334,2026-05-03,2026-05-30,
Gyoer,,HUN,1,1454.81445312,2026-05-03,2026-05-30,
Watford,,ENG,2,1454.10314941,2026-05-03,2026-05-30,
LASK,,AUT,1,1452.54577637,2026-05-11,2026-05-30,
Alverca,,POR,1,1452.18505859,2026-05-11,2026-05-30,
Gornik,,POL,1,1452.04492188,2026-05-10,2026-05-13,
Nacional,,POR,1,1451.63452148,2026-05-12,2026-05-30,
Lugano,,SUI,1,1450.05969238,2026-05-11,2026-05-30,
Go Ahead Eagles,,NED,1,1449.95959473,2026-05-11,2026-05-30,
Rubin Kazan,,RUS,1,1449.72570801,2026-03-16,2026-05-30,
Charlton,,ENG,2,1448.92651367,2026-05-03,2026-05-30,
Stoke,,ENG,2,1448.67285156,2026-05-03,2026-05-30,
Hradec Kralove,,CZE,1,1445.51159668,2026-05-11,2026-05-30,
Silkeborg,,DEN,1,1445.33203125,2026-05-11,2026-05-30,
Jablonec,,CZE,1,1445.09521484,2026-05-11,2026-05-30,
Malmoe,,SWE,1,1444.68371582,2026-05-11,2026-05-30,
Karlsruhe,,GER,2,1441.77807617,2026-05-09,2026-05-30,
Red Star,,FRA,2,1441.76049805,2026-05-10,2026-05-30,
Levski,,BUL,1,1441.24841309,2026-05-10,2026-05-13,
Dynamo Kyiv,,UKR,1,1441.10852051,2026-05-10,2026-05-13,
Legia,,POL,1,1440.72375488,2026-05-11,2026-05-30,
Nuernberg,,GER,2,1440.38305664,2026-05-10,2026-05-30,
Lautern,,GER,2,1439.78967285,2026-05-09,2026-05-30,
Mirandes,,ESP,2,1438.5378418,2026-05-11,2026-05-30,
M Tel Aviv,,ISR,1,1438.46240234,2026-05-10,2026-05-30,
CFR Cluj,,ROM,1,1437.53100586,2026-05-09,2026-05-30,
Modena,,ITA,2,1437.3996582,2026-05-02,2026-05-12,
Basel,,SUI,1,1436.53771973,2026-05-11,2026-05-30,
Valladolid,,ESP,2,1435.62023926,2026-05-10,2026-05-30,
Magdeburg,,GER,2,1434.87817383,2026-05-10,2026-05-30,
Sion,,SUI,1,1433.71728516,2026-05-11,2026-05-30,
Universitatea Cluj,,ROM,1,1433.61633301,2026-05-10,2026-05-30,
Dunkerque,,FRA,2,1433.01062012,2026-05-10,2026-05-30,
Randers,,DEN,1,1432.4888916,2026-05-12,2026-05-30,
Razgrad,,BUL,1,1431.40698242,2026-05-10,2026-05-13,
Slovan Liberec,,CZE,1,1431.40258789,2026-05-10,2026-05-30,
Young Boys,,SUI,1,1431.359375,2026-05-11,2026-05-30,
Odense,,DEN,1,1430.63183594,2026-05-12,2026-05-30,
Sociedad B,,ESP,2,1430.59130859,2026-05-12,2026-05-30,
Sparta Rotterdam,,NED,1,1429.98205566,2026-05-11,2026-05-30,
IK Sirius,,SWE,1,1427.83239746,2026-05-12,2026-05-30,
Rosenborg,,NOR,1,1427.67419434,2026-05-11,2026-05-30,
Hajduk,,CRO,1,1426.87268066,2026-05-10,2026-05-30,
Steaua,,ROM,1,1426.69921875,2026-05-12,2026-05-30,
Katowice,,POL,1,1426.26794434,2026-05-11,2026-05-30,
Juve Stabia,,ITA,2,1425.34448242,2026-05-09,2026-05-12,
Zulte Waregem,,BEL,1,1425.24291992,2026-05-10,2026-05-30,
Pogon,,POL,1,1424.82580566,2026-05-10,2026-05-30,
Rostov,,RUS,1,1424.74609375,2026-03-15,2026-05-30,
Groningen,,NED,1,1423.8996582,2026-05-11,2026-05-30,
Sandefjord,,NOR,1,1423.67443848,2026-05-11,2026-05-30,
Casa Pia,,POR,1,1420.90600586,2026-05-12,2026-05-30,
Empoli,,ITA,2,1417.93786621,2026-05-09,2026-05-30,
Servette,,SUI,1,1417.44885254,2026-05-10,2026-05-12,
Rizespor,,TUR,1,1417.30529785,2026-05-10,2026-05-30,
Leuven,,BEL,1,1416.62060547,2026-05-09,2026-05-15,
Beitar,,ISR,1,1414.83398438,2026-05-10,2026-05-12,
Dresden,,GER,2,1414.83203125,2026-05-10,2026-05-30,
Aris,,GRE,1,1413.90197754,2026-05-11,2026-05-30,
Piast Gliwice,,POL,1,1413.75842285,2026-05-11,2026-05-30,
Konyaspor,,TUR,1,1413.53149414,2026-05-10,2026-05-30,
Fredrikstad,,NOR,1,1412.80065918,2026-05-10,2026-05-30,
Huesca,,ESP,2,1411.20751953,2026-05-12,2026-05-30,
Duesseldorf,,GER,2,1410.51477051,2026-05-11,2026-05-30,
Estrela Amadora,,POR,1,1407.93188477,2026-05-12,2026-05-30,
Mantova,,ITA,2,1407.49438477,2026-05-09,2026-05-30,
Terek Grozny,,RUS,1,1406.51831055,2026-03-16,2026-05-30,
Zaragoza,,ESP,2,1404.17602539,2026-05-10,2026-05-30,
Sarpsborg,,NOR,1,1403.36450195,2026-05-10,2026-05-30,
Zwolle,,NED,1,1402.83459473,2026-05-11,2026-05-30,
Guingamp,,FRA,2,1402.83410645,2026-05-10,2026-05-30,
Radomiak,,POL,1,1402.66931152,2026-05-12,2026-05-30,
Levadeiakos,,GRE,1,1402.10925293,2026-05-11,2026-05-30,
Alanyaspor,,TUR,1,1400.90673828,2026-05-10,2026-05-30,
Sampdoria,,ITA,2,1399.47351074,2026-05-09,2026-05-30,
Cadiz,,ESP,2,1399.09643555,2026-05-09,2026-05-15,
Austria Wien,,AUT,1,1398.9432373,2026-05-11,2026-05-30,
Tondela,,POR,1,1398.04077148,2026-05-12,2026-05-30,
Lubin,,POL,1,1397.54772949,2026-05-10,2026-05-30,
Luzern,,SUI,1,1397.09777832,2026-05-10,2026-05-12,
Lechia,,POL,1,1396.66125488,2026-05-10,2026-05-30,
Ham-Kam,,NOR,1,1395.86999512,2026-05-09,2026-05-30,
Grenoble,,FRA,2,1395.74108887,2026-05-10,2026-05-30,
Cracovia,,POL,1,1394.18835449,2026-05-12,2026-05-30,
Carrarese,,ITA,2,1393.78613281,2026-05-09,2026-05-30,
Bielefeld,,GER,2,1393.49121094,2026-05-09,2026-05-30,
Bastia,,FRA,2,1392.73669434,2026-05-10,2026-05-30,
Polissya Zhytomyr,,UKR,1,1392.03637695,2026-05-09,2026-05-12,
Korona,,POL,1,1390.38623047,2026-05-09,2026-05-30,
Elfsborg,,SWE,1,1388.13391113,2026-05-09,2026-05-30,
Rijeka,,CRO,1,1387.4979248,2026-05-09,2026-05-30,
GAIS,,SWE,1,1387.08862305,2026-05-10,2026-05-16,
Fuerth,,GER,2,1386.85144043,2026-05-11,2026-05-30,
Hibernian,,SCO,1,1386.35559082,2026-05-10,2026-05-30,
Spezia,,ITA,2,1384.1036377,2026-05-09,2026-05-30,
Clermont,,FRA,2,1383.68151855,2026-05-10,2026-05-30,
Motherwell,,SCO,1,1383.57824707,2026-05-10,2026-05-30,
Haecken,,SWE,1,1383.41943359,2026-05-11,2026-05-30,
Sittard,,NED,1,1381.28430176,2026-05-11,2026-05-30,
Rapid Wien,,AUT,1,1381.19360352,2026-05-11,2026-05-30,
Mlada Boleslav,,CZE,1,1381.1496582,2026-05-10,2026-05-12,
AIK,,SWE,1,1381.11547852,2026-05-11,2026-05-30,
Pau,,FRA,2,1379.71813965,2026-05-10,2026-05-30,
Motor Lublin,,POL,1,1379.69775391,2026-05-11,2026-05-30,
Telstar,,NED,1,1378.37182617,2026-05-11,2026-05-30,
Laval,,FRA,2,1378.09753418,2026-05-10,2026-05-30,
Braunschweig,,GER,2,1378.0267334,2026-05-10,2026-05-30,
Valerenga,,NOR,1,1377.26916504,2026-05-09,2026-05-30,
Kasimpasa,,TUR,1,1377.16906738,2026-05-10,2026-05-30,
Cesena,,ITA,2,1375.50952148,2026-05-09,2026-05-30,
Plock,,POL,1,1375.22253418,2026-05-11,2026-05-30,
Lausanne,,SUI,1,1374.96130371,2026-05-10,2026-05-12,
Avellino,,ITA,2,1373.21899414,2026-05-02,2026-05-30,
Suedtirol,,ITA,2,1372.35400391,2026-05-09,2026-05-30,
Sigma Olomouc,,CZE,1,1371.94616699,2026-05-11,2026-05-30,
Atromitos,,GRE,1,1371.29907227,2026-05-10,2026-05-12,
Widzew,,POL,1,1371.26403809,2026-05-10,2026-05-30,
Hartberg,,AUT,1,1370.59326172,2026-05-11,2026-05-30,
Goeteborg,,SWE,1,1368.79516602,2026-05-10,2026-05-30,
Rapid Bucuresti,,ROM,1,1368.52368164,2026-05-10,2026-05-30,
Excelsior,,NED,1,1368.42260742,2026-05-11,2026-05-30,
Dinamo Bucuresti,,ROM,1,1368.21972656,2026-05-04,2026-05-30,
Paksi,,HUN,1,1367.53369141,2026-05-04,2026-05-30,
Fredericia,,DEN,1,1366.58007812,2026-05-11,2026-05-30,
Slovan Bratislava,,SLK,0,1366.51843262,2026-01-01,2026-05-30,
Kryliya Sovetov,,RUS,1,1366.14489746,2026-03-16,2026-05-30,
Boulogne,,FRA,2,1364.97668457,2026-05-10,2026-05-30,
Koper,,SVN,1,1364.5402832,2026-05-10,2026-05-30,
Gaziantep FK,,TUR,1,1364.36669922,2026-05-10,2026-05-30,
