Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2022-11-06,12:00(13:00),Premier League,Matchweek 15,Sun,Home,L,0,1,Arsenal,44,"40,142",César Azpilicueta,4-2-3-1,4-3-3,Michael Oliver,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,Match Report,
2022-11-12,17:30(18:30),Premier League,Matchweek 16,Sat,Away,L,0,1,Newcastle United,51,"52,264",César Azpilicueta,3-4-3,4-3-3,Robert Jones,https://fbref.com/en/matches/e1b3eb1b/Newcastle-United-Chelsea-November-12-2022-Premier-League,Match Report,
2022-12-27,17:30(18:30),Premier League,Matchweek 17,Tue,Home,W,2,0,Bournemouth,60,"40,046",Jorginho,4-3-3,5-3-2,Simon Hooper,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,Match Report,
2023-01-01,16:30(17:30),Premier League,Matchweek 18,Sun,Away,D,1,1,Nottingham Forest,72,"29,229",César Azpilicueta,4-3-3,4-3-3,Peter Bankes,https://fbref.com/en/matches/c31cf944/Nottingham-Forest-Chelsea-January-1-2023-Premier-League,Match Report,
2023-01-05,20:00(21:00),Premier League,Matchweek 19,Thu,Home,L,0,1,Manchester City,48,"39,998",César Azpilicueta,4-2-3-1,3-2-4-1,Paul Tierney,https://fbref.com/en/matches/eacda90c/Chelsea-Manchester-City-January-5-2023-Premier-League,Match Report,
2023-01-12,20:00(21:00),Premier League,Matchweek 7,Thu,Away,L,1,2,Fulham,52,"24,460",César Azpilicueta,3-5-2,4-2-3-1,David Coote,https://fbref.com/en/matches/2902a42d/Fulham-Chelsea-January-12-2023-Premier-League,Match Report,
2023-01-15,14:00(15:00),Premier League,Matchweek 20,Sun,Home,W,1,0,Crystal Palace,63,"40,075",Jorginho,4-2-3-1,4-2-3-1,Peter Bankes,https://fbref.com/en/matches/564d2893/Chelsea-Crystal-Palace-January-15-2023-Premier-League,Match Report,
2023-01-21,12:30(13:30),Premier League,Matchweek 21,Sat,Away,D,0,0,Liverpool,52,"53,126",Jorginho,3-4-3,4-3-3,Michael Oliver,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,Match Report,
2023-02-03,20:00(21:00),Premier League,Matchweek 22,Fri,Home,D,0,0,Fulham,67,"40,041",Thiago Silva,4-3-3,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/c3cf244b/Chelsea-Fulham-February-3-2023-Premier-League,Match Report,
2023-02-11,12:30(13:30),Premier League,Matchweek 23,Sat,Away,D,1,1,West Ham United,72,"62,471",Thiago Silva,4-2-3-1,3-4-3,Craig Pawson,https://fbref.com/en/matches/18dea268/West-Ham-United-Chelsea-February-11-2023-Premier-League,Match Report,
2023-02-18,15:00(16:00),Premier League,Matchweek 24,Sat,Home,L,0,1,Southampton,61,"40,152",César Azpilicueta,4-2-3-1,4-4-2,David Coote,https://fbref.com/en/matches/8d750d5d/Chelsea-Southampton-February-18-2023-Premier-League,Match Report,
2023-02-26,13:30(14:30),Premier League,Matchweek 25,Sun,Away,L,0,2,Tottenham Hotspur,59,"61,613",Thiago Silva,4-2-3-1,3-4-3,Stuart Attwell,https://fbref.com/en/matches/8eff71b5/Tottenham-Hotspur-Chelsea-February-26-2023-Premier-League,Match Report,
2023-03-04,15:00(16:00),Premier League,Matchweek 26,Sat,Home,W,1,0,Leeds United,58,"39,905",Mateo Kovačić,3-4-3,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/59f9a78f/Chelsea-Leeds-United-March-4-2023-Premier-League,Match Report,
2023-03-11,15:00(16:00),Premier League,Matchweek 27,Sat,Away,W,3,1,Leicester City,51,"32,170",Mateo Kovačić,3-4-3,3-4-3,Andre Marriner,https://fbref.com/en/matches/bd5571a1/Leicester-City-Chelsea-March-11-2023-Premier-League,Match Report,
2023-03-18,17:30(18:30),Premier League,Matchweek 28,Sat,Home,D,2,2,Everton,69,"40,025",Mateo Kovačić,3-4-3,4-5-1,Darren England,https://fbref.com/en/matches/9453dba7/Chelsea-Everton-March-18-2023-Premier-League,Match Report,
2023-04-01,17:30(18:30),Premier League,Matchweek 29,Sat,Home,L,0,2,Aston Villa,69,"40,082",Mateo Kovačić,3-4-3,4-4-2,Andy Madley,https://fbref.com/en/matches/870fa8c9/Chelsea-Aston-Villa-April-1-2023-Premier-League,Match Report,
2023-04-04,20:00(21:00),Premier League,Matchweek 8,Tue,Home,D,0,0,Liverpool,49,"40,093",N'Golo Kanté,3-5-2,4-3-3,Anthony Taylor,https://fbref.com/en/matches/1028e683/Chelsea-Liverpool-April-4-2023-Premier-League,Match Report,
2023-04-08,15:00(16:00),Premier League,Matchweek 30,Sat,Away,L,0,1,Wolves,62,"31,614",Mateo Kovačić,4-3-3,4-4-2,Peter Bankes,https://fbref.com/en/matches/aa1fa8dc/Wolverhampton-Wanderers-Chelsea-April-8-2023-Premier-League,Match Report,
2023-04-15,15:00(16:00),Premier League,Matchweek 31,Sat,Home,L,1,2,Brighton,42,"40,126",Kepa Arrizabalaga,4-2-3-1,4-2-3-1,Robert Jones,https://fbref.com/en/matches/18e7d354/Chelsea-Brighton-and-Hove-Albion-April-15-2023-Premier-League,Match Report,
2023-04-26,19:45(20:45),Premier League,Matchweek 33,Wed,Home,L,0,2,Brentford,73,"39,929",César Azpilicueta,3-4-3,5-3-2,Andy Madley,https://fbref.com/en/matches/071b5820/Chelsea-Brentford-April-26-2023-Premier-League,Match Report,
2023-05-02,20:00(21:00),Premier League,Matchweek 34,Tue,Away,L,1,3,Arsenal,45,"60,144",César Azpilicueta,4-3-3,4-3-3,Robert Jones,https://fbref.com/en/matches/2d551ff5/North-West-London-Derby-Arsenal-Chelsea-May-2-2023-Premier-League,Match Report,
2023-05-06,15:00(16:00),Premier League,Matchweek 35,Sat,Away,W,3,1,Bournemouth,66,"10,357",Thiago Silva,4-3-3,4-2-3-1,John Brooks,https://fbref.com/en/matches/6116824f/Bournemouth-Chelsea-May-6-2023-Premier-League,Match Report,
2023-05-13,15:00(16:00),Premier League,Matchweek 36,Sat,Home,D,2,2,Nottingham Forest,76,"40,030",Thiago Silva,4-3-3,3-4-3,Paul Tierney,https://fbref.com/en/matches/96ab0b45/Chelsea-Nottingham-Forest-May-13-2023-Premier-League,Match Report,
2023-05-21,16:00(17:00),Premier League,Matchweek 37,Sun,Away,L,0,1,Manchester City,35,"53,490",César Azpilicueta,3-4-1-2,3-4-3,Michael Oliver,https://fbref.com/en/matches/589e447b/Manchester-City-Chelsea-May-21-2023-Premier-League,Match Report,
2023-05-25,20:00(21:00),Premier League,Matchweek 32,Thu,Away,L,1,4,Manchester Utd,59,"73,561",César Azpilicueta,4-3-3,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/d2f2263d/Manchester-United-Chelsea-May-25-2023-Premier-League,Match Report,
2023-05-28,16:30(17:30),Premier League,Matchweek 38,Sun,Home,D,1,1,Newcastle United,65,"40,130",César Azpilicueta,4-2-3-1,4-3-3,Jarred Gillett,https://fbref.com/en/matches/4f7b1a0d/Chelsea-Newcastle-United-May-28-2023-Premier-League,Match Report,
