name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Nathan Patterson,nathan-patterson,N. Patterson,D,2,739,M,1020141,"{'nameTranslation': {'ar': 'باترسون، ناثان', 'bn': 'প্যাটারসন, নাথান', 'hi': 'पैटरसन, नाथन'}, 'shortNameTranslation': {'ar': 'ن. باترسون', 'bn': 'এন. প্যাটারসন', 'hi': 'एन. पैटरसन'}}",Nathan,Patterson,,57.617391304348,9.6608695652174,69,Everton,1746280800_everton_vs_ipswich_town
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,2139,M,935543,"{'nameTranslation': {'ar': 'دوايت مكنيل', 'bn': 'ডোয়াইট ম্যাকনিল', 'hi': 'ड्वाइट मैकनील'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'bn': 'ডি. ম্যাকনিল', 'hi': 'डी. मैकनील'}}",Dwight,McNeil,,67.315094339623,25.909433962264,53,Everton,1746280800_everton_vs_ipswich_town
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,2874,M,979563,"{'nameTranslation': {'ar': 'جاراد برانثويت', 'bn': 'জারাদ ব্র্যানথওয়েট', 'hi': 'जेर्राड ब्रैंथवेट'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'bn': 'জে. ব্র্যানথওয়েট', 'hi': 'जे. ब्रैंथवेट'}}",,,,41.905063291139,72.091139240506,79,Everton,1746280800_everton_vs_ipswich_town
Carlos Alcaraz,carlos-alcaraz,C. Alcaraz,M,24,6174,M,1017392,"{'nameTranslation': {'ar': 'كارلوس ألكاراز', 'bn': 'কার্লোস আলকারাজ', 'hi': 'कार्लोस अल्काराज'}, 'shortNameTranslation': {'ar': 'ك. ألكاراز', 'bn': 'সি. আলকারাজ', 'hi': 'सी. अल्काराज'}}",,,_alcaraz22,58.025423728814,64.766101694915,59,Everton,1746280800_everton_vs_ipswich_town
Idrissa Gana Gueye,idrissa-gana-gueye,I. Gueye,M,27,22035,M,106337,"{'nameTranslation': {'ar': 'إدريسا غي', 'bn': 'ইদ্রিসা গুইয়ে', 'hi': 'इद्रिसा गुये'}, 'shortNameTranslation': {'ar': 'إ. غي', 'bn': 'আই. গুইয়ে', 'hi': 'आई. गुये'}}",Idrissa Gana,Gueye,iganagueye,54.6075,55.92375,80,Everton,1746280800_everton_vs_ipswich_town
Jake O'Brien,jake-obrien,J. O'Brien,D,15,1648,M,998253,"{'nameTranslation': {'ar': 'جايك أوبراين', 'bn': ""জ্যাক ও'ব্রায়েন"", 'hi': ""जेक ओ'ब्रायन""}, 'shortNameTranslation': {'ar': 'ج. أوبراين', 'bn': ""জে. ও'ব্রায়েন"", 'hi': ""जे. ओ'ब्रायन""}}",Jake,O'Brien,,38.972058823529,27.632352941176,68,Everton,1746280800_everton_vs_ipswich_town
George Hirst,george-hirst,G. Hirst,F,9,522,M,839712,"{'nameTranslation': {'ar': 'جورج هيرست', 'bn': 'জর্জ হার্স্ট', 'hi': 'जॉर्ज हर्स्ट'}, 'shortNameTranslation': {'ar': 'ج. هيرست', 'bn': 'জি. হার্স্ট', 'hi': 'जी. हर्स्ट'}}",George,Hirst,,66.311111111111,45.944444444444,9,Ipswich Town,1746280800_everton_vs_ipswich_town
Jens-Lys Cajuste,jens-lys-cajuste,J. Cajuste,M,12,1130,M,857671,"{'nameTranslation': {'ar': 'ينس-ليس كاجوست', 'bn': 'জেনস ক্যাজুস্টে', 'hi': 'जेन्स कैजस्टे'}, 'shortNameTranslation': {'ar': 'ي. كاجوست', 'bn': 'জে. ক্যাজুস্টে', 'hi': 'जे. कैजस्टे'}}",Jens-Lys,Cajuste,,53.38,50.5,10,Ipswich Town,1746280800_everton_vs_ipswich_town
Conor Chaplin,conor-chaplin,C. Chaplin,M,36,483,M,784625,"{'nameTranslation': {'ar': 'كونور تشابلن'}, 'shortNameTranslation': {'ar': 'ك. تشابلن'}}",Conor,Chaplin,,37.879310344828,40.465517241379,29,Ipswich Town,1746280800_everton_vs_ipswich_town
Kalvin Phillips,kalvin-phillips,K. Phillips,M,27,8968,M,786028,"{'nameTranslation': {'ar': 'كالفين فيليبس', 'bn': 'ক্যালভিন ফিলিপস', 'hi': 'केल्विन फिलिप्स'}, 'shortNameTranslation': {'ar': 'ك. فيليبس', 'bn': 'কে. ফিলিপস', 'hi': 'के. फिलिप्स'}}",Kalvin,Phillips,kalvinphillips,50.842857142857,35.966666666667,21,Ipswich Town,1746280800_everton_vs_ipswich_town
Liam Delap,liam-delap,L. Delap,F,9,25609,M,997087,"{'nameTranslation': {'ar': 'ليام ديلاب', 'bn': 'লিয়াম ডেলাপ', 'hi': 'लियाम डेलाप'}, 'shortNameTranslation': {'ar': 'ل. ديلاب', 'bn': 'এল. ডেলাপ', 'hi': 'एल. डेलाप'}}",,,,58.788,64.62,25,Ipswich Town,1746280800_everton_vs_ipswich_town
Sam Morsy,sam-morsy,S. Morsy,M,40,1813,M,108515,"{'nameTranslation': {'ar': 'سام مرسي', 'bn': 'স্যাম মরসি', 'hi': 'सैम मोर्सी'}, 'shortNameTranslation': {'ar': 'س. مرسي', 'bn': 'এস. মুরসি', 'hi': 'एस. मोर्सी'}}",Sam,Morsy,,40.677142857143,44.051428571429,35,Ipswich Town,1746280800_everton_vs_ipswich_town
Jack Clarke,jack-clarke,J. Clarke,M,47,1713,M,921005,"{'nameTranslation': {'ar': 'جاك كلارك', 'bn': 'জ্যাক ক্লার্ক', 'hi': 'जैक क्लार्क'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'bn': 'জে. ক্লার্ক', 'hi': 'जे. क्लार्क'}}",,,,60.468421052632,78.9,19,Ipswich Town,1746280800_everton_vs_ipswich_town
Axel Tuanzebe,axel-tuanzebe,A. Tuanzebe,D,6,7773,M,817979,"{'nameTranslation': {'ar': 'أكسل توانزيبي', 'bn': 'অ্যাক্সেল তুয়ানজেবে', 'hi': 'एक्सल टुआनज़ेबे'}, 'shortNameTranslation': {'ar': 'أ. توانزيبي', 'bn': 'এ. তুয়ানজেবে', 'hi': 'ए. टुआनज़ेबे'}}",Axel,Tuanzebe,,75.366666666667,19.883333333333,6,Ipswich Town,1746280800_everton_vs_ipswich_town
Alex Palmer,alex-palmer,A. Palmer,G,1,233,M,796143,"{'nameTranslation': {'ar': 'أليكس بالمر'}, 'shortNameTranslation': {'ar': 'أ. بالمر'}}",Alex,Palmer,,9.7757575757576,48.787878787879,66,Ipswich Town,1746280800_everton_vs_ipswich_town
Omari Hutchinson,omari-hutchinson,O. Hutchinson,M,21,3921,M,1090963,"{'nameTranslation': {'ar': 'أوماري هاتشينسون', 'bn': 'ওমারি হাচিনসন', 'hi': 'ओमारी हचिंसन'}, 'shortNameTranslation': {'ar': 'أ. هاتشينسون', 'bn': 'ও. হাচিনসন', 'hi': 'ओ. हचिंसन'}}",,,,53.13,14.886,50,Ipswich Town,1746280800_everton_vs_ipswich_town
Julio Enciso,julio-enciso,J. Enciso,M,19,14937,M,973556,"{'nameTranslation': {'ar': 'خوليو إنسيسو', 'bn': 'জুলিও এনসিসো', 'hi': 'जूलियो एनकिसो'}, 'shortNameTranslation': {'ar': 'خ. إنسيسو', 'bn': 'জে. এনসিসো', 'hi': 'जे. एनकिसो'}}",,,julioenciso.33,56.196153846154,73.890384615385,52,Ipswich Town,1746280800_everton_vs_ipswich_town
Jack Taylor,jack-taylor,J. Taylor,M,14,368,M,856669,"{'nameTranslation': {'ar': 'جاك تايلور'}, 'shortNameTranslation': {'ar': 'ج. تايلور'}}",Jack,Taylor,,35.814545454545,67.045454545455,55,Ipswich Town,1746280800_everton_vs_ipswich_town
Cameron Burgess,cameron-burgess,C. Burgess,D,15,343,M,358084,"{'nameTranslation': {'ar': 'كاميرون بيرجس', 'bn': 'ক্যামেরন বার্গেস', 'hi': 'कैमरून बर्गेस'}, 'shortNameTranslation': {'ar': 'ك. بيرجس', 'bn': 'সি. বার্গেস', 'hi': 'सी. बर्गेस'}}",Cameron,Burgess,,26.517441860465,71.808139534884,86,Ipswich Town,1746280800_everton_vs_ipswich_town
Luke Woolfenden,luke-woolfenden,L. Woolfenden,D,26,207,M,893478,"{'nameTranslation': {'ar': 'لوك وولفندين'}, 'shortNameTranslation': {'ar': 'ل. وولفندين'}}",Luke,Woolfenden,,26.05873015873,33.45873015873,63,Ipswich Town,1746280800_everton_vs_ipswich_town
Dara O'Shea,dara-oshea,D. O'Shea,D,26,697,M,856719,"{'nameTranslation': {'ar': 'دارا أوشيا', 'bn': ""দারা ও'শিয়া"", 'hi': ""दारा ओ'शीया""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'bn': ""ডি. ও'শিয়া"", 'hi': ""डी. ओ'शीया""}}",Dara,O'Shea,,39.179310344828,15.422413793103,58,Ipswich Town,1746280800_everton_vs_ipswich_town
Jacob Greaves,jacob-greaves,J. Greaves,D,24,543,M,990821,"{'nameTranslation': {'ar': 'جاكوب غريفز'}, 'shortNameTranslation': {'ar': 'ج. غريفز'}}",,,,33.886419753086,82.061728395062,81,Ipswich Town,1746280800_everton_vs_ipswich_town
